"Responsive Sliders", "Responsive Sliders"
"There's no product whith sku %s","Il n'y a pas de produit avec le sku %s"
"Information","Information"

"Sliders","Sliders"
"Slider","Slider"
"Manage sliders","Gérer les sliders"
"New Slider","Nouveau slider"
"Add a slider","Créer un slider"
"Save slider","Sauvegarder le slider"
"Delete slider","Supprimer le slider"
"Edit Slider","Modifier slider"
"Edit Slider %s","Modifier slider %s"
"Slider Information","Informations du slider"
"Slider was successfully saved","Le slider a bien été créé"
"Slider was successfully deleted","Le slider a bien été supprimé"
"This slider no longer exists.","Ce slider n'existe pas"
"The slider has been saved.","Le slider a été sauvegardée."
"The slider has been deleted.","Le slider a été supprimée."
"Unable to find a slider to delete.","Impossible de trouver un slider à supprimer"
"Slider Information","Information du slider"
"Slider Status","Statut du slider"
"A Slider identifier with the same properties already exists.","Un identificateur de slider existe déjà ."
"The slide has been saved. Save Slide Manage sliders","Le slider a été sauvegardée. "

"Slides","Slides"
"Slide","Slide"
"Manage slides","Gérer les slides"
"New Slide","Nouvelle slide"
"Add a slide","Ajouter une slide"
"Save slide","Sauvegarder la slide"
"Delete slide","Supprimer la slide"
"Edit Slide","Modifier slide"
"Edit Slide %s","Modifier slide %s"
"Slide was successfully saved","La slide a bien été créé"
"Slide was successfully deleted","La slide a bien été supprimée"
"Slide Information","Informations de la slide"
"This slide no longer exists.","Cette slide n'existe pas"
"The slide has been saved.","La slide a été sauvegardée."
"The slide has been deleted.","La slide a été supprimée."
"Unable to find a slide to delete.","Impossible de trouver une slide à supprimer"
"Slide Information","Information du slide"
"Slide Status","Statut du slide"

"Enabled","Activé"
"Disabled","Désactivé"
"Configuration","Configuration"

"ID","ID"
"Identifier","Identificateur"
"Title","Titre"
"Store View","Vue du magasin"
"Status","Statut"
"Last Modified","Modifié pour la dernière fois"
"Date Created","Date de création"
"From Date","A partir du"
"To Date","Jusqu'au"
"URL link","URL du lien"
"Background image","Image de fond"
"Alternative image","Image alternatif"
"Linked product SKU","SKU du produit lié"
"Position","Position"
"Images","Images"
"Baseline","Baseline"
"Content","Contenu"

